ID,City,Age,Religion,Ethnic,Educational Level,Occupation,Social Class,Montly Expenditure for Food (%),Religious Value in Type of Food,Religious Value in Eating Places,Religious Value in Consumption Pattern,Practice of Food Consumption Based on Religious Rules,Practice of Food Consumption Based on Custom Rules,Buying Food Product in the Right Place Based on Religious Rules,Practice of Consumption Traditional Food
146,Jakarta,25,Protestant,Other,Senior High School,Government Employees,Middle Class,41,Agree,Strongly Agree,Agree,Strongly Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
147,Jakarta,36,Islam,Java,Diploma,Enterpreneur,Upper Class,26,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
148,Jakarta,50,Islam,Sunda,Senior High School,Enterpreneur,Lower Class,76,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
149,Jakarta,55,Islam,Other,Senior High School,Enterpreneur,Upper Class,22,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Agree,Strongly Agree,Agree
150,Jakarta,54,Hindu,Other,Diploma,Private Employees,Upper Class,18,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree
151,Jakarta,62,Protestant,Java,Diploma,Private Employees,Lower Class,57,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Agree,Strongly Agree,Agree
152,Jakarta,26,Protestant,Java,Bachelor degree,Private Employees,Middle Class,43,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
153,Jakarta,40,Protestant,Java,Diploma,Private Employees,Middle Class,38,Agree,Strongly Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
154,Jakarta,33,Islam,Minang,Diploma,Private Employees,Lower Class,61,Strongly Agree,Disagree,Strongly Agree,Disagree,Disagree,Neither agree nor disagree,Disagree
155,Jakarta,33,Islam,Java,Bachelor degree,Private Employees,Middle Class,58,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
156,Jakarta,51,Islam,Minang,Master and doctoral degree,Private Employees,Middle Class,34,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
157,Jakarta,40,Islam,Java,Bachelor degree,Teacher?/Lecturer,Upper Class,26,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree
158,Jakarta,61,Islam,Java,Bachelor degree,Teacher?/Lecturer,Lower Class,57,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree
159,Jakarta,27,Protestant,Java,Bachelor degree,Government Employees,Upper Class,24,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Disagree
160,Jakarta,29,Protestant,Batak,Bachelor degree,Government Employees,Upper Class,27,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Agree,Strongly Agree,Agree
161,Jakarta,27,Islam,Java,Senior High School,Government Employees,Lower Class,67,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
162,Jakarta,55,Protestant,Java,Diploma,Government Employees,Middle Class,36,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
163,Jakarta,60,Islam,Java,Bachelor degree,Government Employees,Middle Class,42,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neither agree nor disagree,Disagree
164,Jakarta,26,Islam,Java,Master and doctoral degree,Police Officer?/Army,Lower Class,73,Strongly Agree,Agree,Strongly Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
165,Jakarta,30,Islam,Java,Bachelor degree,Police Officer?/Army,Lower Class,41,Strongly Agree,Agree,Strongly Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
166,Jakarta,41,Islam,Java,Master and doctoral degree,Private Employees,Middle Class,33,Strongly Agree,Agree,Strongly Agree,Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree
167,Jakarta,36,Islam,Java,Bachelor degree,Private Employees,Upper Class,19,Agree,Agree,Agree,Agree,Agree,Agree,Agree
168,Jakarta,52,Islam,Java,Diploma,Government Employees,Lower Class,69,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Disagree
169,Jakarta,63,Islam,Java,Senior High School,Police Officer?/Army,Upper Class,23,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree
170,Jakarta,28,Islam,Java,Diploma,Private Employees,Upper Class,25,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
171,Jakarta,30,Islam,Java,Senior High School,Private Employees,Lower Class,57,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
172,Jakarta,61,Islam,Minang,Senior High School,Private Employees,Middle Class,43,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree
173,Jakarta,26,Catholic,Batak,Master and doctoral degree,Enterpreneur,Middle Class,38,Agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree
174,Jakarta,27,Catholic,Batak,Master and doctoral degree,Enterpreneur,Lower Class,61,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree
175,Bandung,31,Protestant,Java,Bachelor degree,Enterpreneur,Middle Class,58,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree
176,Bandung,36,Islam,Minang,Diploma,Enterpreneur,Middle Class,34,Strongly Agree,Agree,Strongly Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
177,Bandung,56,Islam,Sunda,Master and doctoral degree,Government Employees,Upper Class,26,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree
178,Bandung,63,Islam,Sunda,Bachelor degree,Government Employees,Lower Class,57,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree
179,Bandung,54,Islam,Sunda,Master and doctoral degree,Government Employees,Upper Class,24,Agree,Strongly Agree,Agree,Strongly Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
180,Bandung,36,Islam,Sunda,Bachelor degree,Government Employees,Upper Class,27,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree
181,Bandung,52,Islam,Sunda,Bachelor degree,Government Employees,Middle Class,67,Agree,Strongly Agree,Agree,Strongly Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
182,Bandung,63,Catholic,Java,Bachelor degree,Private Employees,Middle Class,36,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree
183,Bandung,54,Catholic,Sunda,Bachelor degree,Private Employees,Middle Class,42,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree
184,Bandung,30,Catholic,Batak,Senior High School,Private Employees,Lower Class,73,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree
185,Bandung,43,Islam,Sunda,Primary School,Private Employees,Lower Class,41,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree
186,Bandung,29,Islam,Sunda,Diploma,Enterpreneur,Middle Class,33,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Agree,Strongly Agree,Agree
187,Bandung,36,Islam,Java,Bachelor degree,Enterpreneur,Upper Class,19,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
188,Bandung,33,Islam,Minang,Junior High School,Enterpreneur,Lower Class,69,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree
189,Bandung,60,Islam,Bugis,Primary School,Enterpreneur,Lower Class,23,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
190,Bandung,54,Islam,Java,Bachelor degree,Enterpreneur,Middle Class,25,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither agree nor disagree,Agree
191,Bandung,30,Protestant,Batak,Bachelor degree,Enterpreneur,Middle Class,58,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
192,Bandung,45,Catholic,Batak,Senior High School,Government Employees,Upper Class,44,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree
193,Bandung,32,Catholic,Other,Diploma,Government Employees,Lower Class,35,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
194,Bandung,25,Islam,Sunda,Senior High School,Government Employees,Lower Class,59,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
195,Bandung,31,Islam,Sunda,Bachelor degree,Government Employees,Middle Class,65,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
196,Bandung,27,Islam,Java,Master and doctoral degree,Government Employees,Middle Class,41,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree
197,Bandung,52,Islam,Java,Primary School,Government Employees,Upper Class,26,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree
198,Bandung,60,Islam,Sunda,Bachelor degree,Government Employees,Upper Class,76,Agree,Neither agree nor disagree,Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree
199,Bandung,25,Islam,Sunda,Junior High School,Enterpreneur,Upper Class,22,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly Agree,Agree,Neither agree nor disagree,Agree
200,Bandung,31,Catholic,Java,Diploma,Enterpreneur,Middle Class,18,Agree,Neither agree nor disagree,Agree,Strongly Agree,Agree,Agree,Agree
201,Bandung,36,Islam,Java,Bachelor degree,Enterpreneur,Lower Class,57,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree
202,Bandung,34,Islam,Java,Master and doctoral degree,Enterpreneur,Middle Class,43,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree
203,Bandung,64,Islam,Sunda,Bachelor degree,Enterpreneur,Middle Class,38,Agree,Strongly Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree
204,Bandung,24,Hindu,Other,Bachelor degree,Enterpreneur,Lower Class,61,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree
205,Bandung,47,Protestant,Other,Bachelor degree,Independent Worker,Lower Class,58,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree
206,Bandung,28,Catholic,Sunda,Bachelor degree,Independent Worker,Middle Class,34,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree
207,Bandung,48,Catholic,Sunda,Senior High School,Independent Worker,Upper Class,26,Agree,Strongly Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree
208,Bandung,26,Islam,Sunda,Diploma,Independent Worker,Lower Class,57,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree
209,Bandung,39,Islam,Minang,Master and doctoral degree,Independent Worker,Upper Class,24,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree
210,Bandung,53,Islam,Sunda,Bachelor degree,Independent Worker,Upper Class,27,Strongly Agree,Agree,Strongly Agree,Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree
211,Bandung,57,Islam,Sunda,Bachelor degree,Private Employees,Lower Class,67,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Agree,Neither agree nor disagree,Agree
212,Bandung,46,Islam,Java,Senior High School,Private Employees,Middle Class,36,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Disagree
213,Bandung,53,Protestant,Sunda,Master and doctoral degree,Private Employees,Middle Class,42,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Agree,Neither agree nor disagree,Agree
214,Bandung,58,Protestant,Java,Senior High School,Private Employees,Lower Class,73,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Agree,Strongly Agree,Agree
215,Bandung,50,Catholic,Sunda,Senior High School,Government Employees,Middle Class,41,Agree,Agree,Agree,Agree,Agree,Agree,Agree
216,Bandung,54,Catholic,Batak,Diploma,Government Employees,Middle Class,33,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree
217,Bandung,49,Islam,Sunda,Diploma,Enterpreneur,Upper Class,19,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree
218,Bandung,23,Islam,Sunda,Bachelor degree,Enterpreneur,Lower Class,69,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree
219,Bandung,41,Islam,Other,Diploma,Enterpreneur,Upper Class,23,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree
220,Bandung,62,Islam,Java,Primary School,Private Employees,Upper Class,25,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree
221,Bandung,54,Islam,Java,Bachelor degree,Private Employees,Lower Class,57,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
222,Bandung,50,Islam,Sunda,Master and doctoral degree,Private Employees,Middle Class,43,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree
223,Bandung,34,Islam,Sunda,Bachelor degree,Private Employees,Middle Class,38,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
224,Bandung,39,Islam,Sunda,Bachelor degree,Private Employees,Lower Class,61,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
225,Bandung,31,Catholic,Sunda,Bachelor degree,Private Employees,Lower Class,58,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
226,Bandung,27,Islam,Other,Bachelor degree,Private Employees,Middle Class,34,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
227,Bandung,37,Islam,Java,Senior High School,Teacher?/Lecturer,Upper Class,26,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree
228,Bandung,56,Islam,Minang,Bachelor degree,Teacher?/Lecturer,Lower Class,57,Disagree,Strongly Agree,Disagree,Strongly Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree
229,Bandung,54,Islam,Minang,Bachelor degree,Government Employees,Upper Class,24,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree
230,Bandung,62,Islam,Minang,Junior High School,Government Employees,Upper Class,27,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
231,Bandung,56,Islam,Sunda,Master and doctoral degree,Government Employees,Lower Class,67,Strongly Agree,Agree,Strongly Agree,Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree
232,Bandung,51,Catholic,Sunda,Senior High School,Government Employees,Middle Class,36,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
233,Bandung,37,Catholic,Batak,Diploma,Government Employees,Middle Class,42,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree
234,Bandung,42,Catholic,Other,Senior High School,Police Officer?/Army,Lower Class,73,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Disagree,Neither agree nor disagree,Disagree
235,Bandung,49,Islam,Sunda,Senior High School,Police Officer?/Army,Middle Class,41,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree
236,Bandung,54,Islam,Sunda,Diploma,Private Employees,Middle Class,33,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
237,Bandung,33,Islam,Other,Diploma,Private Employees,Upper Class,19,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree
238,Bandung,27,Islam,Sunda,Bachelor degree,Government Employees,Lower Class,69,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Agree,Strongly Agree
239,Bandung,35,Islam,Sunda,Master and doctoral degree,Police Officer?/Army,Upper Class,23,Agree,Strongly Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
240,Bandung,36,Islam,Sunda,Bachelor degree,Private Employees,Upper Class,25,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
241,Bandung,26,Protestant,Java,Bachelor degree,Private Employees,Lower Class,58,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree
242,Bandung,63,Protestant,Java,Master and doctoral degree,Private Employees,Middle Class,44,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
243,Bandung,26,Protestant,Java,Bachelor degree,Enterpreneur,Middle Class,35,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
244,Bandung,30,Islam,Sunda,Bachelor degree,Enterpreneur,Lower Class,59,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree
245,Bandung,34,Islam,Sunda,Bachelor degree,Enterpreneur,Lower Class,65,Agree,Strongly Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree
246,Bandung,32,Islam,Other,Bachelor degree,Enterpreneur,Middle Class,41,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
247,Bandung,33,Islam,Other,Senior High School,Government Employees,Upper Class,26,Strongly Agree,Neither agree nor disagree,Strongly Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
248,Bandung,31,Islam,Other,Diploma,Government Employees,Lower Class,76,Strongly Agree,Agree,Strongly Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
249,Bandung,32,Islam,Other,Bachelor degree,Government Employees,Upper Class,22,Strongly Agree,Neither agree nor disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree
250,Bandung,31,Budha,Other,Bachelor degree,Government Employees,Upper Class,18,Agree,Agree,Agree,Strongly Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
251,Bandung,27,Islam,Sunda,Master and doctoral degree,Government Employees,Lower Class,57,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
252,Bandung,28,Islam,Sunda,Senior High School,Private Employees,Middle Class,43,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree
253,Bandung,56,Islam,Sunda,Master and doctoral degree,Private Employees,Middle Class,38,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree
254,Bandung,55,Hindu,Bali,Senior High School,Private Employees,Lower Class,61,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
255,Bandung,47,Protestant,Java,Senior High School,Private Employees,Middle Class,58,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
256,Bandung,28,Catholic,Sunda,Diploma,Enterpreneur,Middle Class,34,Agree,Strongly Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
257,Bandung,48,Catholic,Other,Diploma,Enterpreneur,Upper Class,26,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree
258,Bandung,29,Islam,Minang,Bachelor degree,Enterpreneur,Lower Class,57,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree
259,Bandung,39,Islam,Sunda,Diploma,Enterpreneur,Upper Class,24,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree
260,Bandung,53,Islam,Sunda,Diploma,Enterpreneur,Upper Class,27,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
261,Bandung,57,Islam,Minang,Bachelor degree,Enterpreneur,Lower Class,67,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree
262,Bandung,46,Islam,Minang,Master and doctoral degree,Government Employees,Middle Class,36,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree
263,Bandung,53,Protestant,Batak,Bachelor degree,Government Employees,Middle Class,42,Agree,Strongly Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
264,Bandung,58,Protestant,Batak,Bachelor degree,Government Employees,Lower Class,73,Strongly Agree,Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
265,Bandung,45,Catholic,Bugis,Bachelor degree,Government Employees,Lower Class,41,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree
266,Bandung,54,Catholic,Other,Bachelor degree,Government Employees,Middle Class,33,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree
267,Bandung,35,Islam,Sunda,Senior High School,Government Employees,Upper Class,19,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
268,Bandung,29,Islam,Sunda,Diploma,Government Employees,Lower Class,69,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree
269,Bandung,29,Islam,Java,Diploma,Enterpreneur,Upper Class,23,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
270,Bandung,62,Islam,Sunda,Master and doctoral degree,Enterpreneur,Upper Class,25,Strongly Agree,Agree,Strongly Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
271,Bandung,54,Islam,Sunda,Master and doctoral degree,Enterpreneur,Lower Class,57,Strongly Agree,Agree,Strongly Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
272,Bandung,37,Islam,Sunda,Senior High School,Enterpreneur,Middle Class,43,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree
273,Bandung,39,Islam,Minang,Bachelor degree,Enterpreneur,Middle Class,38,Agree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree
274,Bandung,28,Islam,Other,Senior High School,Enterpreneur,Lower Class,61,Strongly Agree,Agree,Strongly Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
275,Bandung,31,Protestant,Other,Senior High School,Independent Worker,Middle Class,58,Strongly Agree,Agree,Strongly Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
276,Bandung,28,Islam,Sunda,Bachelor degree,Independent Worker,Middle Class,34,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree
277,Bandung,33,Islam,Minang,Master and doctoral degree,Independent Worker,Upper Class,26,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neither agree nor disagree,Disagree
278,Bandung,64,Islam,Sunda,Bachelor degree,Independent Worker,Lower Class,57,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree
279,Bandung,54,Islam,Minang,Diploma,Independent Worker,Upper Class,24,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
280,Bandung,62,Islam,Sunda,Diploma,Independent Worker,Upper Class,27,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
281,Bandung,50,Islam,Sunda,Bachelor degree,Private Employees,Middle Class,67,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree
282,Bandung,38,Catholic,Minang,Master and doctoral degree,Private Employees,Middle Class,36,Strongly Agree,Agree,Strongly Agree,Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree
283,Bandung,33,Catholic,Java,Bachelor degree,Private Employees,Middle Class,42,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
284,Bandung,27,Catholic,Java,Bachelor degree,Private Employees,Lower Class,73,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Agree
285,Bandung,43,Islam,Sunda,Bachelor degree,Government Employees,Lower Class,41,Strongly Agree,Strongly Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
286,Bandung,49,Islam,Sunda,Bachelor degree,Government Employees,Middle Class,33,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree
287,Bandung,40,Islam,Sunda,Senior High School,Enterpreneur,Upper Class,19,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree
288,Bandung,35,Islam,Minang,Diploma,Enterpreneur,Lower Class,69,Strongly Agree,Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
289,Bandung,29,Islam,Minang,Diploma,Enterpreneur,Lower Class,23,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree
290,Bandung,57,Islam,Minang,Bachelor degree,Private Employees,Middle Class,25,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree
291,Bandung,34,Protestant,Batak,Bachelor degree,Private Employees,Middle Class,58,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree
292,Bandung,28,Protestant,Other,Master and doctoral degree,Private Employees,Upper Class,44,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Neither agree nor disagree,Disagree
293,Bandung,34,Catholic,Sunda,Bachelor degree,Private Employees,Lower Class,35,Strongly Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
294,Bandung,55,Islam,Other,Diploma,Private Employees,Lower Class,59,Strongly Agree,Neither agree nor disagree,Strongly Agree,Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree
